 

stn;time;htoautd0
DAV;20211201;36
DAV;20211202;34
DAV;20211203;36
DAV;20211204;34
DAV;20211205;39
DAV;20211206;36
DAV;20211207;40
DAV;20211208;36
DAV;20211209;51
DAV;20211210;48
DAV;20211211;45
DAV;20211212;45
DAV;20211213;42
DAV;20211214;40
DAV;20211215;39
DAV;20211216;38
DAV;20211217;38
DAV;20211218;38
DAV;20211219;38
DAV;20211220;38
DAV;20211221;38
DAV;20211222;38
DAV;20211223;38
DAV;20211224;38
DAV;20211225;38
DAV;20211226;38
DAV;20211227;37
DAV;20211228;39
DAV;20211229;42
DAV;20211230;49
DAV;20211231;42
DAV;20220101;42
DAV;20220102;42
DAV;20220103;42
DAV;20220104;41
DAV;20220105;50
DAV;20220106;51
DAV;20220107;49
DAV;20220108;48
DAV;20220109;49
DAV;20220110;56
DAV;20220111;58
DAV;20220112;56
DAV;20220113;54
DAV;20220114;53
DAV;20220115;53
DAV;20220116;52
DAV;20220117;53
DAV;20220118;52
DAV;20220119;52
DAV;20220120;55
DAV;20220121;58
DAV;20220122;56
DAV;20220123;55
DAV;20220124;54
DAV;20220125;54
DAV;20220126;54
DAV;20220127;53
DAV;20220128;56
DAV;20220129;55
DAV;20220130;54
DAV;20220131;54
DAV;20220201;89
DAV;20220202;94
DAV;20220203;107
DAV;20220204;100
DAV;20220205;97
DAV;20220206;94
DAV;20220207;110
DAV;20220208;106
DAV;20220209;102
DAV;20220210;99
DAV;20220211;96
DAV;20220212;99
DAV;20220213;97
DAV;20220214;95
DAV;20220215;100
DAV;20220216;102
DAV;20220217;97
DAV;20220218;90
DAV;20220219;92
DAV;20220220;89
DAV;20220221;87
DAV;20220222;101
DAV;20220223;101
DAV;20220224;95
DAV;20220225;96
DAV;20220226;97
DAV;20220227;95
DAV;20220228;94
DAV;20220301;93
DAV;20220302;92
DAV;20220303;91
DAV;20220304;90
DAV;20220305;89
DAV;20220306;89
DAV;20220307;89
DAV;20220308;88
DAV;20220309;88
DAV;20220310;87
DAV;20220311;86
DAV;20220312;85
DAV;20220313;83
DAV;20220314;82
DAV;20220315;79
DAV;20220316;76
DAV;20220317;72
DAV;20220318;66
DAV;20220319;61
DAV;20220320;59
DAV;20220321;56
DAV;20220322;52
DAV;20220323;50
DAV;20220324;48
DAV;20220325;45
DAV;20220326;42
DAV;20220327;40
DAV;20220328;37
DAV;20220329;34
DAV;20220330;28
DAV;20220331;28
DAV;20220401;35
DAV;20220402;35
DAV;20220403;33
DAV;20220404;32
DAV;20220405;28
DAV;20220406;24
DAV;20220407;18
DAV;20220408;11
DAV;20220409;6
DAV;20220410;11
DAV;20220411;3
DAV;20220412;0
DAV;20220413;0
DAV;20220414;0
DAV;20220415;0
DAV;20220416;0
DAV;20220417;0
DAV;20220418;0
DAV;20220419;0
DAV;20220420;0
DAV;20220421;0
DAV;20220422;0
DAV;20220423;0
DAV;20220424;0
DAV;20220425;0
DAV;20220426;0
DAV;20220427;0
DAV;20220428;0
DAV;20220429;0
DAV;20220430;0
DAV;20220501;0
DAV;20220502;0
DAV;20220503;0
DAV;20220504;0
DAV;20220505;0
DAV;20220506;0
DAV;20220507;0
DAV;20220508;0
DAV;20220509;0
DAV;20220510;0
DAV;20220511;0
DAV;20220512;0
DAV;20220513;0
DAV;20220514;0
DAV;20220515;0
DAV;20220516;0
DAV;20220517;0
DAV;20220518;0
DAV;20220519;0
DAV;20220520;0
DAV;20220521;0
DAV;20220522;0
DAV;20220523;0
DAV;20220524;0
DAV;20220525;0
DAV;20220526;0
DAV;20220527;0
DAV;20220528;0
DAV;20220529;0
DAV;20220530;0
DAV;20220531;0
DAV;20220601;0
DAV;20220602;0
DAV;20220603;0
DAV;20220604;0
DAV;20220605;0
DAV;20220606;0
DAV;20220607;0
DAV;20220608;0
DAV;20220609;0
DAV;20220610;0
DAV;20220611;0
DAV;20220612;0
DAV;20220613;0
DAV;20220614;0
DAV;20220615;0
DAV;20220616;0
DAV;20220617;0
DAV;20220618;0
DAV;20220619;0
DAV;20220620;0
DAV;20220621;0
DAV;20220622;0
DAV;20220623;0
DAV;20220624;0
DAV;20220625;0
DAV;20220626;0
DAV;20220627;0
DAV;20220628;0
DAV;20220629;0
DAV;20220630;0
DAV;20220701;0
DAV;20220702;0
DAV;20220703;0
DAV;20220704;0
DAV;20220705;0
DAV;20220706;0
DAV;20220707;0
DAV;20220708;0
DAV;20220709;0
DAV;20220710;0
DAV;20220711;0
DAV;20220712;0
DAV;20220713;0
DAV;20220714;0
DAV;20220715;0
DAV;20220716;0
DAV;20220717;0
DAV;20220718;0
DAV;20220719;0
DAV;20220720;0
DAV;20220721;0
DAV;20220722;0
DAV;20220723;0
DAV;20220724;0
DAV;20220725;0
DAV;20220726;0
DAV;20220727;0
DAV;20220728;0
DAV;20220729;0
DAV;20220730;0
DAV;20220731;0
DAV;20220801;0
DAV;20220802;0
DAV;20220803;0
DAV;20220804;0
DAV;20220805;0
DAV;20220806;0
DAV;20220807;0
DAV;20220808;0
DAV;20220809;0
DAV;20220810;0
DAV;20220811;0
DAV;20220812;0
DAV;20220813;0
DAV;20220814;0
DAV;20220815;0
DAV;20220816;0
DAV;20220817;0
DAV;20220818;0
DAV;20220819;0
DAV;20220820;0
DAV;20220821;0
DAV;20220822;0
DAV;20220823;0
DAV;20220824;0
DAV;20220825;0
DAV;20220826;0
DAV;20220827;0
DAV;20220828;0
DAV;20220829;0
DAV;20220830;0
DAV;20220831;0
DAV;20220901;0
DAV;20220902;0
DAV;20220903;0
DAV;20220904;0
DAV;20220905;0
DAV;20220906;0
DAV;20220907;0
DAV;20220908;0
DAV;20220909;0
DAV;20220910;0
DAV;20220911;0
DAV;20220912;0
DAV;20220913;0
DAV;20220914;0
DAV;20220915;0
DAV;20220916;0
DAV;20220917;0
DAV;20220918;0
DAV;20220919;0
DAV;20220920;0
DAV;20220921;0
DAV;20220922;0
DAV;20220923;0
DAV;20220924;0
DAV;20220925;0
DAV;20220926;0
DAV;20220927;0
DAV;20220928;0
DAV;20220929;0
DAV;20220930;0
DAV;20221001;0
DAV;20221002;0
DAV;20221003;0
DAV;20221004;0
DAV;20221005;0
DAV;20221006;0
DAV;20221007;0
DAV;20221008;0
DAV;20221009;0
DAV;20221010;0
DAV;20221011;0
DAV;20221012;0
DAV;20221013;0
DAV;20221014;0
DAV;20221015;0
DAV;20221016;0
DAV;20221017;0
DAV;20221018;0
DAV;20221019;0
DAV;20221020;0
DAV;20221021;0
DAV;20221022;0
DAV;20221023;0
DAV;20221024;0
DAV;20221025;0
DAV;20221026;0
DAV;20221027;0
DAV;20221028;0
DAV;20221029;0
DAV;20221030;0
DAV;20221031;0
DAV;20221101;0
DAV;20221102;0
DAV;20221103;0
DAV;20221104;8
DAV;20221105;10
DAV;20221106;5
DAV;20221107;3
DAV;20221108;0
DAV;20221109;0
DAV;20221110;0
DAV;20221111;0
DAV;20221112;0
DAV;20221113;0
DAV;20221114;0
DAV;20221115;0
DAV;20221116;0
DAV;20221117;0
DAV;20221118;5
DAV;20221119;3
DAV;20221120;3
DAV;20221121;8
DAV;20221122;8
DAV;20221123;12
DAV;20221124;10
DAV;20221125;8
DAV;20221126;7
DAV;20221127;6
DAV;20221128;6
DAV;20221129;8
DAV;20221130;9
DAV;20221201;8
DAV;20221202;8
DAV;20221203;7
DAV;20221204;7
DAV;20221205;6
DAV;20221206;11
DAV;20221207;10
DAV;20221208;10
DAV;20221209;10
DAV;20221210;14
DAV;20221211;18
DAV;20221212;16
DAV;20221213;15
DAV;20221214;15
DAV;20221215;14
DAV;20221216;14
DAV;20221217;23
DAV;20221218;21
DAV;20221219;20
DAV;20221220;18
DAV;20221221;18
DAV;20221222;16
DAV;20221223;17
DAV;20221224;13
DAV;20221225;9
DAV;20221226;8
DAV;20221227;11
DAV;20221228;11
DAV;20221229;11
DAV;20221230;12
DAV;20221231;11
DAV;20230101;10
DAV;20230102;10
DAV;20230103;10
DAV;20230104;9
DAV;20230105;9
DAV;20230106;9
DAV;20230107;9
DAV;20230108;9
DAV;20230109;12
DAV;20230110;26
DAV;20230111;23
DAV;20230112;21
DAV;20230113;20
DAV;20230114;23
DAV;20230115;21
DAV;20230116;24
DAV;20230117;23
DAV;20230118;23
DAV;20230119;26
DAV;20230120;24
DAV;20230121;27
DAV;20230122;26
DAV;20230123;26
DAV;20230124;26
DAV;20230125;25
DAV;20230126;25
DAV;20230127;25
DAV;20230128;32
DAV;20230129;29
DAV;20230130;28
DAV;20230131;29
DAV;20230201;28
DAV;20230202;32
DAV;20230203;37
DAV;20230204;50
DAV;20230205;44
DAV;20230206;44
DAV;20230207;42
DAV;20230208;41
DAV;20230209;40
DAV;20230210;40
DAV;20230211;40
DAV;20230212;38
DAV;20230213;37
DAV;20230214;36
DAV;20230215;36
DAV;20230216;35
DAV;20230217;35
DAV;20230218;31
DAV;20230219;30
DAV;20230220;28
DAV;20230221;26
DAV;20230222;25
DAV;20230223;23
DAV;20230224;22
