 

stn;time;sre000d0
DAV;20211201;250
DAV;20211202;159
DAV;20211203;301
DAV;20211204;2
DAV;20211205;69
DAV;20211206;13
DAV;20211207;193
DAV;20211208;0
DAV;20211209;0
DAV;20211210;0
DAV;20211211;0
DAV;20211212;185
DAV;20211213;230
DAV;20211214;222
DAV;20211215;358
DAV;20211216;373
DAV;20211217;373
DAV;20211218;372
DAV;20211219;373
DAV;20211220;372
DAV;20211221;373
DAV;20211222;372
DAV;20211223;323
DAV;20211224;5
DAV;20211225;0
DAV;20211226;24
DAV;20211227;162
DAV;20211228;25
DAV;20211229;0
DAV;20211230;44
DAV;20211231;376
DAV;20220101;376
DAV;20220102;146
DAV;20220103;114
DAV;20220104;120
DAV;20220105;0
DAV;20220106;82
DAV;20220107;49
DAV;20220108;123
DAV;20220109;3
DAV;20220110;117
DAV;20220111;386
DAV;20220112;380
DAV;20220113;390
DAV;20220114;392
DAV;20220115;393
DAV;20220116;393
DAV;20220117;185
DAV;20220118;397
DAV;20220119;399
DAV;20220120;0
DAV;20220121;70
DAV;20220122;0
DAV;20220123;408
DAV;20220124;410
DAV;20220125;413
DAV;20220126;417
DAV;20220127;324
DAV;20220128;224
DAV;20220129;162
DAV;20220130;256
DAV;20220131;1
DAV;20220201;0
DAV;20220202;0
DAV;20220203;304
DAV;20220204;442
DAV;20220205;314
DAV;20220206;194
DAV;20220207;1
DAV;20220208;364
DAV;20220209;458
DAV;20220210;461
DAV;20220211;172
DAV;20220212;464
DAV;20220213;467
DAV;20220214;293
DAV;20220215;0
DAV;20220216;9
DAV;20220217;2
DAV;20220218;231
DAV;20220219;151
DAV;20220220;138
DAV;20220221;42
DAV;20220222;109
DAV;20220223;355
DAV;20220224;224
DAV;20220225;145
DAV;20220226;448
DAV;20220227;532
DAV;20220228;542
DAV;20220301;545
DAV;20220302;482
DAV;20220303;485
DAV;20220304;407
DAV;20220305;557
DAV;20220306;559
DAV;20220307;564
DAV;20220308;536
DAV;20220309;570
DAV;20220310;572
DAV;20220311;472
DAV;20220312;574
DAV;20220313;551
DAV;20220314;578
DAV;20220315;0
DAV;20220316;334
DAV;20220317;0
DAV;20220318;16
DAV;20220319;589
DAV;20220320;592
DAV;20220321;591
DAV;20220322;597
DAV;20220323;599
DAV;20220324;602
DAV;20220325;578
DAV;20220326;607
DAV;20220327;609
DAV;20220328;610
DAV;20220329;308
DAV;20220330;0
DAV;20220331;0
DAV;20220401;3
DAV;20220402;0
DAV;20220403;162
DAV;20220404;581
DAV;20220405;81
DAV;20220406;404
DAV;20220407;218
DAV;20220408;122
DAV;20220409;197
DAV;20220410;394
DAV;20220411;589
DAV;20220412;627
DAV;20220413;585
DAV;20220414;633
