 

stn;time;sremaxdv
DAV;20211201;65
DAV;20211202;41
DAV;20211203;78
DAV;20211204;1
DAV;20211205;18
DAV;20211206;3
DAV;20211207;51
DAV;20211208;0
DAV;20211209;0
DAV;20211210;0
DAV;20211211;0
DAV;20211212;49
DAV;20211213;61
DAV;20211214;59
DAV;20211215;95
DAV;20211216;99
DAV;20211217;100
DAV;20211218;99
DAV;20211219;100
DAV;20211220;99
DAV;20211221;100
DAV;20211222;99
DAV;20211223;86
DAV;20211224;1
DAV;20211225;0
DAV;20211226;6
DAV;20211227;43
DAV;20211228;7
DAV;20211229;0
DAV;20211230;12
DAV;20211231;100
DAV;20220101;99
DAV;20220102;39
DAV;20220103;30
DAV;20220104;32
DAV;20220105;0
DAV;20220106;21
DAV;20220107;13
DAV;20220108;32
DAV;20220109;1
DAV;20220110;30
DAV;20220111;99
DAV;20220112;98
DAV;20220113;100
DAV;20220114;100
DAV;20220115;100
DAV;20220116;100
DAV;20220117;47
DAV;20220118;100
DAV;20220119;100
DAV;20220120;0
DAV;20220121;17
DAV;20220122;0
DAV;20220123;100
DAV;20220124;100
DAV;20220125;100
DAV;20220126;100
DAV;20220127;77
DAV;20220128;53
DAV;20220129;38
DAV;20220130;60
DAV;20220131;0
DAV;20220201;0
DAV;20220202;0
DAV;20220203;69
DAV;20220204;100
DAV;20220205;70
DAV;20220206;43
DAV;20220207;0
DAV;20220208;80
DAV;20220209;100
DAV;20220210;100
DAV;20220211;37
DAV;20220212;100
DAV;20220213;100
DAV;20220214;62
DAV;20220215;0
DAV;20220216;2
DAV;20220217;0
DAV;20220218;48
DAV;20220219;31
DAV;20220220;28
DAV;20220221;9
DAV;20220222;22
DAV;20220223;70
DAV;20220224;44
DAV;20220225;28
DAV;20220226;86
DAV;20220227;100
DAV;20220228;100
DAV;20220301;100
DAV;20220302;87
DAV;20220303;88
DAV;20220304;73
DAV;20220305;100
DAV;20220306;99
DAV;20220307;99
DAV;20220308;94
DAV;20220309;100
DAV;20220310;100
DAV;20220311;82
DAV;20220312;99
DAV;20220313;95
DAV;20220314;100
DAV;20220315;0
DAV;20220316;57
DAV;20220317;0
DAV;20220318;3
DAV;20220319;99
DAV;20220320;100
DAV;20220321;99
DAV;20220322;100
DAV;20220323;100
DAV;20220324;100
DAV;20220325;95
DAV;20220326;100
DAV;20220327;100
DAV;20220328;100
DAV;20220329;50
DAV;20220330;0
DAV;20220331;0
DAV;20220401;0
DAV;20220402;0
DAV;20220403;26
DAV;20220404;93
DAV;20220405;13
DAV;20220406;64
DAV;20220407;35
DAV;20220408;19
DAV;20220409;31
DAV;20220410;62
DAV;20220411;93
DAV;20220412;99
DAV;20220413;92
DAV;20220414;100
DAV;20220415;29
DAV;20220416;70
DAV;20220417;99
DAV;20220418;95
DAV;20220419;85
DAV;20220420;100
DAV;20220421;88
DAV;20220422;26
DAV;20220423;20
DAV;20220424;34
DAV;20220425;33
DAV;20220426;20
DAV;20220427;93
DAV;20220428;100
DAV;20220429;100
DAV;20220430;4
DAV;20220501;55
DAV;20220502;70
DAV;20220503;30
DAV;20220504;11
DAV;20220505;25
DAV;20220506;0
DAV;20220507;0
DAV;20220508;19
DAV;20220509;65
DAV;20220510;89
DAV;20220511;99
DAV;20220512;85
DAV;20220513;40
DAV;20220514;60
DAV;20220515;73
DAV;20220516;30
DAV;20220517;73
DAV;20220518;90
DAV;20220519;52
DAV;20220520;90
DAV;20220521;52
DAV;20220522;58
DAV;20220523;46
DAV;20220524;5
DAV;20220525;7
DAV;20220526;76
DAV;20220527;66
DAV;20220528;20
DAV;20220529;7
DAV;20220530;11
DAV;20220531;55
DAV;20220601;53
DAV;20220602;36
DAV;20220603;29
DAV;20220604;70
DAV;20220605;50
DAV;20220606;92
DAV;20220607;3
DAV;20220608;59
DAV;20220609;8
DAV;20220610;26
DAV;20220611;99
DAV;20220612;98
DAV;20220613;21
DAV;20220614;99
DAV;20220615;58
DAV;20220616;30
DAV;20220617;83
DAV;20220618;99
DAV;20220619;99
DAV;20220620;61
DAV;20220621;41
DAV;20220622;7
DAV;20220623;73
DAV;20220624;29
DAV;20220625;89
DAV;20220626;48
DAV;20220627;89
DAV;20220628;7
DAV;20220629;42
DAV;20220630;92
DAV;20220701;3
DAV;20220702;100
DAV;20220703;95
DAV;20220704;24
DAV;20220705;21
DAV;20220706;84
DAV;20220707;27
DAV;20220708;79
DAV;20220709;93
DAV;20220710;20
DAV;20220711;96
DAV;20220712;99
DAV;20220713;99
DAV;20220714;74
DAV;20220715;83
DAV;20220716;100
DAV;20220717;98
DAV;20220718;99
DAV;20220719;100
DAV;20220720;40
DAV;20220721;60
DAV;20220722;92
DAV;20220723;18
DAV;20220724;98
DAV;20220725;58
DAV;20220726;29
DAV;20220727;71
DAV;20220728;96
DAV;20220729;32
DAV;20220730;13
DAV;20220731;23
DAV;20220801;88
DAV;20220802;90
DAV;20220803;94
DAV;20220804;96
DAV;20220805;47
DAV;20220806;5
DAV;20220807;60
DAV;20220808;98
DAV;20220809;99
DAV;20220810;84
DAV;20220811;90
DAV;20220812;91
DAV;20220813;98
DAV;20220814;83
DAV;20220815;52
DAV;20220816;93
DAV;20220817;51
DAV;20220818;16
DAV;20220819;0
DAV;20220820;19
DAV;20220821;92
DAV;20220822;96
DAV;20220823;100
DAV;20220824;100
DAV;20220825;94
DAV;20220826;77
DAV;20220827;6
DAV;20220828;91
DAV;20220829;93
DAV;20220830;76
DAV;20220831;0
DAV;20220901;46
DAV;20220902;66
DAV;20220903;1
DAV;20220904;66
DAV;20220905;43
DAV;20220906;61
DAV;20220907;27
DAV;20220908;50
DAV;20220909;32
DAV;20220910;26
DAV;20220911;47
DAV;20220912;100
DAV;20220913;92
DAV;20220914;13
DAV;20220915;25
DAV;20220916;7
DAV;20220917;13
DAV;20220918;46
DAV;20220919;17
DAV;20220920;83
DAV;20220921;100
DAV;20220922;100
DAV;20220923;93
DAV;20220924;0
DAV;20220925;14
DAV;20220926;48
DAV;20220927;17
DAV;20220928;16
DAV;20220929;1
DAV;20220930;0
DAV;20221001;0
DAV;20221002;51
DAV;20221003;79
DAV;20221004;92
DAV;20221005;100
DAV;20221006;100
DAV;20221007;100
DAV;20221008;37
DAV;20221009;0
DAV;20221010;18
DAV;20221011;73
DAV;20221012;71
DAV;20221013;62
DAV;20221014;14
DAV;20221015;25
DAV;20221016;92
DAV;20221017;96
DAV;20221018;63
DAV;20221019;100
DAV;20221020;47
DAV;20221021;0
DAV;20221022;53
DAV;20221023;22
DAV;20221024;0
DAV;20221025;95
DAV;20221026;48
DAV;20221027;96
DAV;20221028;83
DAV;20221029;99
DAV;20221030;100
DAV;20221031;57
DAV;20221101;0
DAV;20221102;38
DAV;20221103;45
DAV;20221104;57
DAV;20221105;13
DAV;20221106;80
DAV;20221107;99
DAV;20221108;78
DAV;20221109;1
DAV;20221110;57
DAV;20221111;79
DAV;20221112;51
DAV;20221113;87
DAV;20221114;15
DAV;20221115;27
DAV;20221116;6
DAV;20221117;97
DAV;20221118;10
DAV;20221119;79
DAV;20221120;28
DAV;20221121;79
DAV;20221122;0
DAV;20221123;100
DAV;20221124;23
DAV;20221125;82
DAV;20221126;53
DAV;20221127;96
DAV;20221128;0
DAV;20221129;0
DAV;20221130;22
DAV;20221201;72
DAV;20221202;15
DAV;20221203;71
DAV;20221204;0
DAV;20221205;0
DAV;20221206;96
DAV;20221207;100
DAV;20221208;100
DAV;20221209;0
DAV;20221210;0
DAV;20221211;52
DAV;20221212;67
DAV;20221213;6
DAV;20221214;3
DAV;20221215;0
DAV;20221216;0
DAV;20221217;99
DAV;20221218;82
DAV;20221219;13
DAV;20221220;20
DAV;20221221;19
DAV;20221222;86
DAV;20221223;0
DAV;20221224;20
DAV;20221225;94
DAV;20221226;84
DAV;20221227;66
DAV;20221228;63
DAV;20221229;51
DAV;20221230;50
DAV;20221231;57
DAV;20230101;96
DAV;20230102;31
DAV;20230103;0
DAV;20230104;39
DAV;20230105;15
DAV;20230106;99
DAV;20230107;99
DAV;20230108;0
DAV;20230109;19
DAV;20230110;36
DAV;20230111;7
DAV;20230112;23
DAV;20230113;33
DAV;20230114;61
DAV;20230115;0
DAV;20230116;26
DAV;20230117;26
DAV;20230118;84
DAV;20230119;0
DAV;20230120;13
DAV;20230121;2
DAV;20230122;90
DAV;20230123;13
DAV;20230124;83
DAV;20230125;98
DAV;20230126;100
DAV;20230127;85
DAV;20230128;100
DAV;20230129;93
DAV;20230130;91
DAV;20230131;60
DAV;20230201;44
DAV;20230202;0
DAV;20230203;69
DAV;20230204;59
DAV;20230205;0
DAV;20230206;84
DAV;20230207;100
DAV;20230208;100
DAV;20230209;100
DAV;20230210;100
DAV;20230211;39
DAV;20230212;100
DAV;20230213;100
DAV;20230214;100
DAV;20230215;100
DAV;20230216;100
DAV;20230217;17
DAV;20230218;78
DAV;20230219;85
DAV;20230220;100
DAV;20230221;100
DAV;20230222;66
DAV;20230223;12
DAV;20230224;34
DAV;20230225;14
DAV;20230226;14
DAV;20230227;55
DAV;20230228;99
DAV;20230301;84
DAV;20230302;74
DAV;20230303;97
DAV;20230304;99
DAV;20230305;99
DAV;20230306;48
DAV;20230307;77
DAV;20230308;39
DAV;20230309;61
DAV;20230310;19
DAV;20230311;0
DAV;20230312;27
DAV;20230313;62
DAV;20230314;25
DAV;20230315;73
DAV;20230316;99
DAV;20230317;89
DAV;20230318;85
DAV;20230319;28
DAV;20230320;69
DAV;20230321;42
DAV;20230322;100
DAV;20230323;54
DAV;20230324;9
DAV;20230325;8
DAV;20230326;15
DAV;20230327;9
DAV;20230328;69
DAV;20230329;5
DAV;20230330;14
DAV;20230331;7
