"id","index","measurement_time","measured_value"
20791,11,"2022-09-11 00:00:00+02",72
20792,11,"2022-09-11 00:15:00+02",67
20793,11,"2022-09-11 00:30:00+02",64
20794,11,"2022-09-11 00:45:00+02",67
20795,11,"2022-09-11 01:00:00+02",54
20796,11,"2022-09-11 01:15:00+02",39
20797,11,"2022-09-11 01:30:00+02",65
20798,11,"2022-09-11 01:45:00+02",41
20799,11,"2022-09-11 02:00:00+02",34
20800,11,"2022-09-11 02:15:00+02",36
20801,11,"2022-09-11 02:30:00+02",34
20802,11,"2022-09-11 02:45:00+02",20
20803,11,"2022-09-11 03:00:00+02",30
20804,11,"2022-09-11 03:15:00+02",32
20805,11,"2022-09-11 03:30:00+02",26
20806,11,"2022-09-11 03:45:00+02",26
20807,11,"2022-09-11 04:00:00+02",28
20808,11,"2022-09-11 04:15:00+02",41
20809,11,"2022-09-11 04:30:00+02",39
20810,11,"2022-09-11 04:45:00+02",26
20811,11,"2022-09-11 05:00:00+02",30
20812,11,"2022-09-11 05:15:00+02",36
20813,11,"2022-09-11 05:30:00+02",46
20814,11,"2022-09-11 05:45:00+02",47
20815,11,"2022-09-11 06:00:00+02",67
20816,11,"2022-09-11 06:15:00+02",68
20817,11,"2022-09-11 06:30:00+02",65
20818,11,"2022-09-11 06:45:00+02",82
20819,11,"2022-09-11 07:00:00+02",80
20820,11,"2022-09-11 07:15:00+02",102
20821,11,"2022-09-11 07:30:00+02",105
20822,11,"2022-09-11 07:45:00+02",116
20823,11,"2022-09-11 08:00:00+02",133
20824,11,"2022-09-11 08:15:00+02",168
20825,11,"2022-09-11 08:30:00+02",178
20826,11,"2022-09-11 08:45:00+02",193
20827,11,"2022-09-11 09:00:00+02",190
20828,11,"2022-09-11 09:15:00+02",204
20829,11,"2022-09-11 09:30:00+02",223
20830,11,"2022-09-11 09:45:00+02",240
20831,11,"2022-09-11 10:00:00+02",238
20832,11,"2022-09-11 10:15:00+02",213
20833,11,"2022-09-11 10:30:00+02",233
